iter	Passed	Remaining
740	1361	475
741	1362	473
742	1364	472
743	1366	470
744	1368	468
745	1369	466
746	1371	464
747	1372	462
748	1374	460
749	1375	458
750	1377	456
751	1378	454
752	1381	453
753	1382	451
754	1384	449
755	1385	447
756	1387	445
757	1389	443
758	1390	441
759	1391	439
760	1392	437
761	1394	435
762	1396	433
763	1398	432
764	1400	430
765	1401	428
766	1403	426
767	1404	424
768	1405	422
769	1407	420
770	1408	418
771	1410	416
772	1412	414
773	1414	413
774	1416	411
775	1417	409
776	1419	407
777	1420	405
778	1422	403
779	1423	401
780	1425	399
781	1427	397
782	1428	395
783	1430	393
784	1431	392
785	1432	389
786	1433	387
787	1434	386
788	1436	384
789	1437	382
790	1440	380
791	1442	378
792	1443	376
793	1445	375
794	1447	373
795	1448	371
796	1450	369
797	1451	367
798	1452	365
799	1454	363
800	1456	361
801	1458	360
802	1459	358
803	1461	356
804	1462	354
805	1464	352
806	1465	350
807	1466	348
808	1467	346
809	1469	344
810	1471	342
811	1473	341
812	1474	339
813	1476	337
814	1477	335
815	1478	333
816	1480	331
817	1481	329
818	1482	327
819	1485	326
820	1486	324
821	1488	322
822	1490	320
823	1491	318
824	1493	316
825	1494	314
826	1495	312
827	1497	310
828	1498	309
829	1500	307
830	1502	305
831	1504	303
832	1505	301
833	1506	299
834	1508	298
835	1509	296
836	1511	294
837	1512	292
838	1514	290
839	1516	288
840	1517	286
841	1518	284
842	1520	283
843	1522	281
844	1523	279
845	1524	277
846	1526	275
847	1528	273
848	1530	272
849	1532	270
850	1533	268
851	1535	266
852	1536	264
853	1538	263
854	1540	261
855	1541	259
856	1543	257
857	1545	255
858	1546	253
859	1548	252
860	1550	250
861	1551	248
862	1553	246
863	1555	244
864	1556	242
865	1558	241
866	1560	239
867	1561	237
868	1563	235
869	1565	233
870	1566	232
871	1568	230
872	1569	228
873	1571	226
874	1573	224
875	1574	222
876	1576	221
877	1578	219
878	1579	217
879	1581	215
880	1582	213
881	1584	211
882	1585	210
883	1587	208
884	1589	206
885	1591	204
886	1592	202
887	1594	201
888	1596	199
889	1597	197
890	1599	195
891	1600	193
892	1601	191
893	1603	190
894	1605	188
895	1607	186
896	1609	184
897	1610	182
898	1611	181
899	1612	179
900	1614	177
901	1615	175
902	1616	173
903	1618	171
904	1620	170
905	1622	168
906	1624	166
907	1625	164
908	1627	162
909	1628	161
910	1629	159
911	1631	157
912	1633	155
913	1634	153
914	1636	151
915	1637	150
916	1639	148
917	1640	146
918	1641	144
919	1643	142
920	1644	141
921	1645	139
922	1647	137
923	1649	135
924	1651	133
925	1653	132
926	1654	130
927	1656	128
928	1657	126
929	1658	124
930	1660	123
931	1662	121
932	1664	119
933	1666	117
934	1667	115
935	1668	114
936	1670	112
937	1671	110
938	1673	108
939	1674	106
940	1676	105
941	1677	103
942	1679	101
943	1681	99
944	1682	97
945	1684	96
946	1685	94
947	1686	92
948	1687	90
949	1689	88
950	1690	87
951	1692	85
952	1694	83
953	1695	81
954	1696	79
955	1698	78
956	1699	76
957	1701	74
